,organizer,call_duration_mins,participants,interaction
203,Timothy Cook,17,"['Rachel Garcia,Christopher Gray,John James,Dennis Hicks,Derrick Hurley,Gregory Cooke MD,Cynthia Valencia']",High
204,Stephen Lang,151,"['Scott Hayden,Erin Boyd,Vanessa Jarvis,Joshua Mccarthy']",High
205,Courtney Davis,78,"['Christopher Webster,Mark Daniels']",Low
206,Renee Lewis MD,78,"['Heather Armstrong,Bradley Martinez,Mark Knox,Travis Douglas,Ryan Li,Daniel Simmons,Andrew Rose']",High
207,Paige Mcintosh,138,"['Andrea Davis,Shannon Scott MD,Tiffany Morgan,Michael Gonzalez']",Medium
208,Kevin Jones,121,"['Walter Hill,Cory Miller']",High
209,Edwin King,85,"['Donna White,John Torres,Kevin Barron,Benjamin Meyers,Larry Bennett,Cynthia Keller,Anthony Newman,Laura Fields,Jeffrey Zhang,William Brown']",High
210,Christopher Smith,161,"['James Anthony,Paul Sanchez,Javier Schneider,Joseph Garcia']",Low
211,Cheyenne Lawson,38,"['Theodore Baker,Katrina Bowman,Thomas Bolton,Stephanie Mayer']",Medium
212,Richard Williams,120,"['James Bennett,Jill Salinas']",Low
213,Amber Murphy,39,"['Suzanne Benson,David Smith,James Mosley,Timothy Hartman']",High
214,George Lopez,47,"['Douglas Ward,Rachel Hull,Tammy Cruz,Desiree Perkins']",Medium
215,Madison Osborn,73,"['John Owens,Brent Lee,Jeremy Thomas,Jessica Perry,Charles Grant,Collin Nelson']",Medium
216,Darren Walker,120,"['Michael Spears,Christopher Koch,Jennifer Jackson,Dr. Robin Hernandez,George Hughes']",Low
217,Natasha Moses,108,"['Lucas Romero,Bryce Swanson,Frank Silva,Noah Madden,William Carter,Haley Jones,Anita Zavala,Helen Sparks,Mark Jones,Donna Harris']",High
218,Brittany Raymond,86,"['Heather Robertson,Kayla Butler,Anthony Bush']",High
219,Jason Graham,125,"['Aaron Haas,Mrs. Kayla Jones,Allison Soto,Nicholas Beasley,Michael Kim,Jason Stewart,Stephen Lee,Charles Baldwin']",High
220,Kyle Gonzalez,121,"['Christopher Greene,Susan Phillips']",Medium
221,Vicki Edwards,19,"['Nathan Jordan,Melissa Alvarez,David Anderson,Heather English,Janet Perkins,Christine Martin,Benjamin Diaz,Craig Parker,Danielle Mendez,Amanda Davis']",High
222,Thomas Romero,16,"['James Villarreal,Tammy Mcgee']",High
223,Ariel Mann,83,"['Andrew Harrington,Dylan Lawson']",High
224,Randy Kaufman,7,"['Michael Boyd,Joseph Wolfe,Christina Thomas']",Low
225,Ashley Morrow,160,"['Timothy Nichols,Joshua Cruz,Andrew Mathews,Adam Burns,Mathew Bruce,Dana Jones,Alejandra Murillo,Catherine Bell']",Medium
226,Brittany Hubbard,66,"['Destiny Petty,Michelle Maddox,Amy Jacobs,Nicholas Hernandez,Adam Thompson,Bianca Calderon,Joyce Rivera,Sandra Gonzalez,Claudia Salas']",Low
227,Krystal Riley,72,"['Carl Holloway,Diane Moreno,Daniel Mcbride,Jordan Bennett,Ryan Castro,Christopher Hopkins,Denise Hill MD']",Medium
228,Laura Hutchinson,133,"['Kayla Williams,Brittany Franco,Rachael Cain']",High
229,Sonya Wells,172,"['Carolyn Johnson,Barbara Love,Marisa Morrow,Jason Mcfarland,Christopher Wells']",High
230,Tracy Perez,136,"['Greg Taylor,Jason Butler,Thomas Barrett,William Flores DVM']",High
231,Wendy Gonzalez,162,"['Stephanie Silva,Melissa House,Stephanie Roberts']",Low
232,Eric Arellano,83,"['Valerie Frazier,Lee Salinas,Latasha Herrera MD,Jordan Williams,Trevor Martin,Jennifer Parker,Matthew Harris']",Medium
233,William Spencer,164,"['Alexandra Ray,Richard Smith']",Medium
234,Anne Shaw,133,"['Megan Delgado,Robert Meza,Mark Hughes,Dr. George Hurst,Melinda Taylor,Lori Mueller,Barbara Villarreal,Russell Mcmillan']",Medium
235,Dr. Christopher Norton,60,"['Travis Cruz,Mike Ellis,Dr. Carrie Moss,Wayne Salinas,John Bryan,Shelby Meyer,Wayne Jennings']",Medium
236,Paige Odom,92,"['Mark Barker,Sean Adkins MD']",Medium
237,Isaac Bailey,118,"['Terri Humphrey,Matthew Taylor,Michael Allen,Luis Mcdowell,Lisa Barron MD,Joseph Wells,Yolanda Weber,Kim Lozano,Ronald Santiago']",High
238,Jodi Fernandez,147,"['Wesley Buchanan,Olivia Fields']",Medium
239,Jamie Hayden,89,"['Teresa Jones,Michael Beck,Diana Huber,Sheila Marquez,David Carlson,William Lopez,Rachel Nelson,Michael Lewis,William Castro,Erin Gates']",Low
240,Cheryl Velazquez,177,"['Javier Strong,Joe Parker,Matthew Harding,James Smith,William Snyder,Joseph Carpenter,Lynn Larson']",Medium
241,Edward Smith,80,"['Patrick Carlson,Veronica Schneider']",High
242,Charles Lynn,119,"['Molly Woods,Brianna Young,Ross Kim,Daniel Taylor,Andrea Johnson,Aaron Smith']",Low
243,Mary Cohen,178,"['Jeremy Nguyen,Dwayne Gibson,Mary Rowe,Kristy Garcia,Teresa Mccoy,Dr. Joseph Williams,Corey Zamora,Sean Johnson']",High
244,Robert Parker,105,"['Sierra Webb,Amber Hurley,Yvette Byrd,Colleen Harris,Sara Peterson,Samantha Adams']",High
245,Danielle Martin,29,"['Joseph Hurley,Robin Smith,Brian Stokes,James Martinez,Stephanie Russo,Anthony Harvey,Jonathan Graham,Tiffany Thomas,Aaron Rose,Carl Johnson']",High
246,Amy Saunders,144,"['Kenneth Cameron,Samantha Harris,George Miller MD,Stephanie Howard,Kristina Benson']",Low
247,Janet Flowers,104,"['Alex Ferrell,Rhonda Holmes,Michelle Ramsey,Jason Bradford,Ryan Cox']",High
248,William Medina,119,"['Jessica Miles,Thomas Jimenez,Randy Chambers,Donald Blanchard']",Low
249,Jon Gonzalez,41,"['Matthew Williams,James Smith']",Medium
250,James Edwards,178,"['Jorge Crawford,Kristina Jennings,Fernando Howe,Tracy Wilkins,Karen French,Gabrielle Lopez,Aaron Rocha,Jaclyn Garner']",Medium
251,Amanda Murphy,69,"['Christopher Mitchell,Wendy Ewing,Raven Wall']",Low
252,Denise Freeman,14,"['Rebecca Wilson,Donna Hancock,Zachary Warner']",High
253,Daniel Gonzalez,72,"['Sara Skinner,Andrea George,Julie Armstrong,Richard Baker']",Low
254,Rachael Malone,49,"['Molly Morrison,Devon Lee,Erik Rivera,Francisco Hurst,Helen Collins,Daniel Phillips']",Low
255,Daniel Hicks,103,"['Mark Wagner,Francisco Bridges,Carol Taylor,Patricia Glass,Sydney Rowe,Julie Molina,Russell Davidson,John Lindsey']",Medium
256,Kevin Riddle,7,"['Thomas Davis,Donald Wilson,Rose Short']",Low
257,Susan Ball,169,"['Thomas Barry,Michael Smith,Shelby Ward,Kevin Gonzalez,Dana Hatfield,Kenneth Dominguez,Sandra Anderson,Paul Best']",High
258,James Gonzalez,108,"['James Gonzalez,Michelle Chapman,Andrea Cabrera,Christopher Lee,Melissa James,Chris Hendricks,Tyler Griffith,Walter Obrien,Ronald Alvarez,Phyllis Carpenter']",Low
259,Savannah Stevenson,158,"['Curtis Castillo,Lindsay Shepard,John Duffy']",High
260,Erica Henderson,52,"['Walter Smith,Joseph Mooney']",Medium
261,Sheila Ramirez DDS,112,"['Jay Cruz,Angelica Salazar,Jennifer Torres,Stephanie Lawrence,Peter Tucker,Robert Howell,Janet Wiggins,Bradley Smith']",High
262,Ashley Meyer,144,"['Jacob Thomas,Stacey Cox,Patrick Davies,Alexander Brown,Zachary Castillo,Rebecca Collins,Tyler Anderson,Amanda Smith']",High
263,Kenneth Hernandez,124,"['James Lewis,Melanie Alexander,Benjamin Frazier,Laura Newman,Willie Hughes,Eric Young,Pamela Davis']",High
264,Diana Gilbert,69,"['Joshua Decker,Kimberly Murray,Emily Frazier,Juan Hayes']",Low
265,Heidi Fisher,66,"['Jeremiah Larson,Justin Pratt,Rebecca Williams,Donald Phillips,Kendra Chapman,James Davis,Phillip Gilmore,Brian Mccoy']",Low
266,Dawn Solomon,113,"['Thomas Caldwell,Samuel Harris,Jacqueline Esparza DDS,Martha Schneider,Andrew Garrett,Matthew West,Timothy Walker,Lauren Clay']",Medium
267,Dawn Parks,68,"['Derrick Miller,Jeffrey Mccarty,Jacqueline Orr,Cory Delacruz,Patricia Franco,Justin Hill']",Low
268,Betty Lee,97,"['Joshua Caldwell,Brian Carey,Mr. Jeffrey Gardner,Luis Flores,Timothy Ford,Victoria Tran,Krystal Johnson,Danielle Price,Lindsey Cruz,Daniel Austin']",High
269,Brittany Barnett,35,"['Jordan Mason,Kyle Rogers,Karen Brown,Amber Walker,Walter Rogers,Amanda Reid']",Medium
270,Angela Black,155,"['Dr. Alison Williams,Carolyn Edwards,Justin Valenzuela,Zachary King,Megan Espinoza,Peter Dean,Jason Smith']",Low
271,Katrina James,62,"['Courtney Jones,Claire Mccoy,Janet Burke,Destiny Middleton,Abigail Vargas']",High
272,Lisa Williams,45,"['Samantha Fox,Lori Holt,Bethany Hill,Christopher Castro,Sheila Ballard,Eric Mueller,Tammy Lee,Amy Goodwin']",Low
273,Pamela Martin,81,"['Becky Bender,Lynn Maxwell,David English,Laura Edwards']",Medium
274,Kathleen Morrow,98,"['Derek Gardner,Kyle Haney']",Medium
275,Craig Leon,163,"['Julie Wood,John Turner']",Medium
276,Jessica Smith,170,"['Scott Mitchell,Lauren Miller']",High
277,Pamela Patel,118,"['Elizabeth Ford,Cathy Chavez,Julie Medina,Michael Chavez,Hunter Khan']",High
278,Angel Williams,23,"['Andrew Garcia,Anita Knox,Jacqueline Hogan,Logan Wang,Todd Chambers']",High
279,Johnny Porter,42,"['Darlene Davila,Aaron Terrell,Joshua Mcclure,Elizabeth Compton,Alejandro Garcia,Jimmy Lawrence,Michael Payne']",Low
280,Tiffany Webster,104,"['Michael Garcia,Amber English MD,Catherine Carlson,Rebecca Mcbride,Ellen Davis,Kathy Cook,Katherine Day,Cheryl Wiggins']",Low
281,Michelle Huang,37,"['Ann White,Katelyn Smith,Joshua Medina,Joseph Turner,Nicole Anthony,Heidi Vasquez']",High
282,Mr. Phillip Mills,61,"['Robin Jenkins,Jennifer Macdonald,Leah Chandler,Eric Palmer,Jason Howell,Aaron Graham,Jennifer Gaines,Teresa Taylor,Brianna Davis']",Low
283,Phillip Williams,70,"['Jeffery Gaines MD,Alyssa Scott,Joshua Anderson,Angela Ward,Jason Rogers']",Low
284,Elizabeth Jackson,73,"['Lisa Oneal,Kelly Stanley,Sarah Evans,Tiffany Reynolds,Christopher Anderson,Tiffany Warren']",Medium
285,Lori Peterson,135,"['Lance Moore,Joshua West,Brian Johnson']",High
286,Mrs. Anna Williams DDS,82,"['Megan Duncan,Andrea Willis,Teresa West,Jennifer Gill,Jennifer Smith']",Medium
287,Justin Norris,120,"['Alyssa Best,Steven Turner,Ricky Prince,Robert Fleming,Robert Marshall,Dillon Clay']",Medium
288,Kathryn Palmer,87,"['Kelsey Rodriguez,Charlotte Johnson,Jennifer Reyes,John Parsons,Frank Mack,Lori Harris,Amber Kline,Elizabeth Chavez,Michael Hanson']",Medium
289,Madison Butler,57,"['Debra Kennedy,Brenda Long,Theresa Wright,Stephanie Martin,Melissa Sutton,Brittany Bentley,Nicholas Shea,Meghan James,Mark Warren']",Low
290,Stephanie Hood,119,"['Catherine Carter,Brian Archer,Christine Reed,Peter Pratt,Alexandra Castillo,Tony Reynolds,Garrett Turner,Tiffany Larsen,Sharon Lawson,Alexis Turner']",Low
291,Gerald Bell,166,"['Brian Keith,John Thompson,Lisa Rich,Mrs. Hannah Bass MD,Jesse Rivera']",High
292,Emily Pittman,90,"['Jessica Jennings,Morgan Clark,Lindsay Lewis,Jessica Dodson,Jeremy Hernandez']",High
293,Christine Pierce,159,"['Michael Lopez,Sean Kline,Kaitlin Harris']",Medium
294,Robert Wilson,91,"['Joshua Wagner,Jeremy Carter']",Medium
295,Bianca Bentley,73,"['Courtney Rodriguez,Wayne Morrison,Kimberly Harmon,Michael Beck,Felicia Hull,Martin Wolf,Nathan Smith,Anthony Peters,Lauren Carter']",Medium
296,Dalton Phillips,131,"['Kevin Kelley,Douglas Craig,Lawrence Lindsey,David Smith,Michael Stevens,Charles Pace']",High
297,John Leon,104,"['Robert Chen,Jose Myers,Carlos Dixon,Sabrina Smith,Abigail Watson,Edward David,Katherine Branch,Kevin Robertson,John Sellers']",Low
298,Jessica Burns,139,"['Judy Castro DDS,Kerri Valenzuela,Melissa Myers,Nathan Rogers,Russell Smith,Eduardo Griffith']",Medium
299,Patricia Payne,92,"['Tonya Brown,Caitlyn Howell,Elizabeth Fuentes,Brandon Hunter,Xavier Wall,Brianna Patel,Christine Finley MD,Rebecca Smith,Derrick Lambert,Matthew Ramirez']",Medium
300,Mark Lin,9,"['Patrick Roman,Theresa Brown,Roberto Klein,Stephen Stevenson,Joel Campbell,Jessica Reed']",Low
301,Dawn Benton,78,"['Kimberly Yu,Susan Berry,Andrew Jones']",Medium
302,Christopher Johnson,15,"['Robert Brown,Elizabeth Garcia,Charles Torres,Nathan Brooks,Rebecca Lee']",Medium
303,Lori Hunt,162,"['Jenna Munoz,Louis Schwartz,Judith Pennington,Lisa Hill,Mark Marks']",Medium
304,Donna Pollard,45,"['James Foster,Andrea Butler,Daniel Gray,Jonathon Riley,Brandon Wilson']",Low
305,Melanie Bradley,61,"['Kristin Hawkins,David Powell,Maria Bell,Dustin Bass Jr.']",Medium
306,Jeremiah Hamilton,167,"['Cynthia Wright,Jared Brown,Thomas Nguyen,Daniel Long,Christopher Rodriguez,Shawn Wright,Tina Harper']",Low
307,Robert Friedman,150,"['Juan Morris,Heather Green,Jennifer Curtis,Michele Nelson,Ryan Collins,Joseph Dennis,Jeremy Holland,Daniel Johnson,Mike Garcia']",Low
308,Carrie Avery,68,"['Rachel Cox,David Kramer,Victoria Mccarthy']",Low
309,Brandon Ramos,178,"['Natasha Mcdaniel,Heather Smith']",Medium
310,Victor Wood,126,"['James Baker,Rachel Williams']",High
311,Molly Williams,104,"['Brandon Torres,Joseph Boone MD,Kimberly Maxwell,Monica Oconnell,Michelle Huffman,Samantha Beck,Cynthia Taylor,Olivia Wright,Kathleen Evans,Carol Chandler']",High
312,Lori Gonzalez,158,"['Andrew Carter,Heather Long,Mr. Stephen Edwards']",High
313,Miguel Thompson,39,"['Kenneth Daniel,Brian Wilkerson,Joseph Powell']",High
314,Christopher Guzman,173,"['Lisa Griffith,Katherine Brown,Robert Barker,Daniel Martinez,Henry Miller,Cheryl Bates']",Medium
315,Kyle Lee,142,"['Melanie Lewis,Christy Lang,Marvin Walls,Justin Sanders,James Miller,Rachael Robertson,Brittney Jordan,Alexander Scott,Matthew Mcneil,Alicia Reynolds']",Medium
316,Aaron Roberts,36,"['Ashley Clark,Thomas Zuniga']",Low
317,Edgar Shepard,32,"['Kevin Kirk,Christopher Thomas,Philip Phillips']",Medium
318,Patricia Hendricks,40,"['Donald Williams,Deborah Romero,Jason Rose']",Low
319,Gregory Sanchez,138,"['Lydia Freeman,Jeffrey Sullivan,Amanda Park,Laura Lee,Joseph Frederick,Erik Glenn']",Medium
320,Mary Greer,101,"['Jennifer Knapp MD,Travis Harrison,Kathryn Jensen,Donald Perez,Amanda Morgan,Robin Tran,Robert James,Thomas Weiss,Matthew Bailey']",Medium
321,William Branch,80,"['Roger Williams,Seth Brown,Carlos Roberts,Shawn Dyer,Robert Johnson,John Kelly,Keith Wagner']",High
322,Howard Mcdonald,139,"['Lauren Martin,Sandra Villanueva']",High
323,Michael Rivera,142,"['Ronald Johnson,Michael Wolfe,Todd Stevens,Christopher Morgan,Samantha Wood,Michele Kane,Thomas Hall']",High
324,Gary Sims,37,"['Nicholas Smith,James Skinner,John Delgado,Aaron Torres,David Snyder,Matthew Roman,Lindsey Sanchez,Brian Dixon,Megan Suarez,George Smith']",High
325,Nicholas Martin,168,"['Christopher Arnold,Joseph Gardner,Daniel White,Spencer Turner']",High
326,Nicholas Cowan,138,"['Helen Mcbride,Aaron Smith,Nicole Campbell,Bobby Rangel,Christopher Whitehead,Alexis Collins,Craig Bennett']",Low
327,Marcus Stephens,100,"['Kendra Medina,Jerry Castillo,Timothy Alexander']",Low
328,Joy Perez,140,"['Heather Garcia,Kelli Shelton']",Medium
329,Michael Dougherty,39,"['Taylor Hobbs,Randy Haynes,Andrea Barton,Joseph Winters,Amanda Green,Kimberly Burgess,Linda Holloway']",High
330,Dustin Ayala,6,"['Kenneth Moore,Charles Little,Brian Stevenson']",Medium
331,Misty Reed,138,"['Michael Alexander,Jonathan Ferguson,James Johnson,Sara Chapman,Melissa Fuentes,Kimberly Gibbs,Sydney Williams,Keith May,Laurie Miller,Michelle Guerrero']",Low
332,Thomas Garcia,30,"['Shawn Barnett,Michael Robertson']",High
333,Ernest Smith,69,"['Ryan Holland,Ronald Anderson,Andre Robbins,Heather Jackson']",Medium
334,Caleb Mcdowell,128,"['Michelle Briggs,Patricia Wang,Anthony Walker,Catherine Sawyer']",Low
335,Matthew Terrell,136,"['Eddie Weaver,Dustin Wong,Laurie Jackson PhD,Catherine Clements,Gina West']",High
336,Lisa Lee,9,"['Jenny Bird,Cynthia Bailey,Tina Hall,Mary Lynch,Mark Clark,Laura Mays,Kevin Jones']",Low
337,Brian King,76,"['Jacqueline Ellis,Andres Lawson,Joshua Lane']",Low
338,Eugene Johnson,83,"['Courtney Gibson,Micheal Jones,Brandi Johnson,Nicole Hall,Susan Bennett,Cody Perkins']",Low
339,Ryan Frey,167,"['Rebecca Jackson,Thomas Wright,Christine Campbell']",Medium
340,Cynthia Rhodes,131,"['Scott Newton,James Williams,Barbara Rasmussen,Lindsay Hooper MD,Lisa Parker,Keith Miller,Christopher Juarez,Ryan Johnson,Robert Young,Jessica Ramsey']",Medium
341,Alyssa Randolph,108,"['Heather Herrera,Samantha Thompson,Jill Brady,Susan Price']",Medium
342,George Irwin,98,"['Eric Mcmillan,John Adams,Jaime Rodriguez']",Medium
343,Jason Fisher,121,"['Austin Gordon,Linda Brown,Alexis Perez,Nicole Reed,Jessica Garner']",Medium
344,Mr. Brandon King,113,"['Calvin Crawford,Jean White,Michael Sutton,Melissa Velasquez,Judy Hines,Matthew Arnold,Jason Stevenson,Dr. Jeremy Nguyen']",Medium
345,Darlene Hahn,35,"['Mark Livingston,Amy Lynch,Caroline Adams,Michael Lyons,Denise Johnson,Adriana Hart,Tracy Patel,Kristin Bell,Diana Cardenas']",Medium
346,Brianna Conner,31,"['Samantha Kaufman,Julia Dougherty,Ryan Hill']",Low
347,Brittney Turner,116,"['Terry Coffey,Adam Reynolds,Anthony Rivera,James Cole']",Medium
348,Rita Rivera,24,"['Donna Brown,Natalie Dean,Jacob Blair,Stephanie Miller,Ann Taylor,Stephanie Weaver']",Medium
349,Sharon Richardson,58,"['Monica Williams,Melissa Moore']",High
350,Beth Sanders,163,"['Monica Farmer,Carla Lyons,Megan Floyd DVM,Marissa Hart,Thomas Valdez,Brandon Freeman']",Low
351,Alejandro Jones,38,"['David Lewis,Erin Jones,Kayla Saunders']",High
352,Shirley Stevens,100,"['Susan Foster,Jennifer Rodgers,Katherine Ryan,Ashley Barron,Melissa Ortiz,Austin Hughes,Crystal Patterson,Bonnie Robinson']",Low
353,Melody Jacobs,28,"['Sandra Potter,Michael White,Cynthia Curtis']",Medium
354,Haley Garrett,98,"['James Conway,Jeff Gonzales,Miguel Gonzalez']",High
355,Derrick Harrington,99,"['Gregory Henderson,Erika Charles,Anthony Evans,Chris Paul,Elizabeth Padilla,Matthew Dunn,Nancy Sweeney,Adam Franklin,Sue Steele']",Low
356,Kevin Wright,69,"['Daniel Miller,William Rasmussen']",High
357,Daniel Adams,33,"['Julia Murphy,Caitlin Garrett,Stephen Green,Amy Long,James Townsend,James Bowen']",Medium
358,Angel George,36,"['Kyle Wright,Jeffrey Watson,Karen Montgomery,Erika Miller DVM,Robert Williams,Aaron Bender,Sheila Hernandez,Frank Tran']",Low
359,Danielle Perry,138,"['Charlene Golden,Glenn Powell,Mr. Dave Ramirez,Paula Bullock']",Medium
360,James Walters,76,"['Kimberly Smith DDS,Samantha Newton,Nicholas Shaw,Danny Hensley,Karen Hull']",Low
361,Michael Norris,38,"['Michaela Paul,Elizabeth Jackson,Johnny Wagner,Andrea Lopez,Dale Ross,Steven Walker,Michelle Reyes,Aaron Oliver,John Garza,Roy Long']",Low
362,David Murphy,134,"['Carl Griffin,Ryan Hernandez,Brian Patterson,Kristin Rhodes,John Bond,Brooke Long,Teresa Wilson,Sharon Alvarez,Nancy Austin']",High
363,Martin Mejia,146,"['Michael Gomez,Robert Pierce,Sherry Mack,Robert Pineda']",Medium
364,Steven Glover,155,"['Beth Lopez,Ms. Belinda Cruz DDS,Derek Blair,Tristan James']",High
365,Lori Coleman,154,"['Valerie Mann,Anna Barber,Edward Cook,Benjamin Jackson,Patricia Lyons,Adam Martin']",Low
366,Catherine Nelson,36,"['Ruth Walker,Amy Patterson,Kristin Carter,Jaime Gomez,Laura Bridges']",High
367,Jocelyn Russell,110,"['Kayla Martin,Melinda Chang']",High
368,Ralph Arellano,40,"['Andre Sanders,Tyler Foster,Cindy Jones,George Mcdonald,Terri Rivera,Timothy Randall']",Medium
369,Cathy Odonnell,147,"['Jacob Walker,Micheal Silva,Maria Weber']",High
370,Maria Macias,27,"['Jennifer Cooper,Scott Thomas,Zachary Waters,Derek Briggs,Beverly Johnston,Jeffrey Willis,Hannah Frey,Mrs. Angela Mendez,Tyler Mendez,Anita Jones']",Low
371,Rebekah Graves,14,"['Samantha Valdez,Megan Smith,Amy Wu,Tracey Cherry,Natalie Rice,Katie Dunn,Heather Rodriguez']",Medium
372,Robert Taylor,164,"['Timothy Morse,Cameron Williams']",Low
373,Danielle Wolf,81,"['Holly Wang,Carol Richards,Jennifer Oconnor,Alison Ramirez DVM,Nathan Smith']",Medium
374,Jason Jackson,33,"['Diane Johnson,Megan Robertson,Rachel Swanson PhD,Catherine Mooney,Valerie Clark']",Low
375,Amanda Joseph,106,"['Roy Wilson,Robert Bush,Tonya Washington,Devin Cohen,Pamela Matthews,Kyle Howell MD,Keith Martinez']",Medium
376,Crystal Anderson,31,"['Ashley Little,Shaun Byrd,Linda Hurst']",Low
377,Melissa Hampton,45,"['Kyle Stephens,Heather Turner,Joshua Beard']",High
378,Linda Francis,109,"['Robert Medina,Jesse Tate,Thomas Coleman,David Cooper,Cody Newman,Robin Krause']",High
379,Brandon Martin,68,"['Denise Graham,Amy Harrison,Meghan Peters,Alexander Wise']",Medium
380,Erika Pitts,113,"['Candace Dodson,Nancy Woods,Brittney Santiago,John Reyes,Cheryl Lynn,Carla Robinson,Joshua Valencia,Dr. Jennifer Harris']",High
381,David Burgess,110,"['Gary Reid,Michael Lewis,Jessica Berg']",Low
382,Alicia Peterson,40,"['Aaron Lawson,Kristopher Gonzalez,Jeremiah Ortiz,Daniel Dixon,Brianna Smith,Juan Sparks,Nicholas Rivera']",High
383,Angelica Hernandez,5,"['David Jones,Terri Walker,Donald Beasley,Monica Gonzalez,Kevin Carter']",Low
384,Ashley Myers,127,"['Shelly Brown,Mr. Anthony Ramos,Andrew Lawrence,Roy Bailey,Gregory Sanchez,Adam Frederick,Marvin Smith,Tiffany Beasley']",Low
385,Charles Diaz,20,"['Richard Rivera,Sarah Smith']",Low
386,Michele Duncan,15,"['Michael Singleton,Patricia Tucker']",Low
387,Michael Atkinson DVM,16,"['James Tucker,Jessica Reed,Tony Ramirez']",High
388,William Hawkins,166,"['Bryce Jones,Jack Caldwell,Michelle Edwards,Daniel Rodriguez,Evan Burke,Paul Moon,Amanda Garcia,Kevin Sanchez']",Medium
389,Mrs. Leah Johnson,78,"['Karen Smith,Mrs. Alyssa Aguilar,Rachel Hudson']",Medium
390,Michael Clark,54,"['Monica Scott,Tiffany Robinson']",High
391,Richard Davis,44,"['Kevin Lawson,Grant Dixon,Jessica Smith,Beverly Coffey,Daniel Rice']",Medium
392,Peter Jackson,35,"['Michael Gomez,Lance Moore,Krystal Mitchell,Sydney Burke']",High
393,Maria Becker,114,"['Nicholas Reilly,Joseph Elliott,Julia Wolf,Austin Vaughan,Jennifer Brewer,James Beasley,Brian Ramos,Crystal Collier,Dawn Sullivan']",Medium
394,Roy Bishop,153,"['Yvonne Cooper,Jared Bird,James Patel,Virginia Brown,Philip Briggs,Stephanie Drake,Deborah Andrews,Sheila Tucker,Dorothy Wolf,Vincent Edwards']",High
395,Ronald Moss,14,"['Sarah Flores,Frederick Knapp']",Medium
396,Andrew Hale,171,"['Angela Massey,Steven Lopez,Nicole Mason,Karl Hall,Kevin Martinez,Robyn Gonzalez']",High
397,Stephanie Holland,81,"['Teresa Hernandez,Carol Stewart,James Ware,Alfred Hines,Jessica King,Cameron Levy,Vanessa Frank,Angela Gilmore,Ruth Robinson,Erin Randall']",High
398,Troy Snyder,98,"['Claudia Walker,Christine Pierce']",Medium
399,Kyle Adams,96,"['Mary Williams,Bonnie Mueller,Alan Jackson,Victoria Gomez,Susan Reyes']",Low
400,Cindy Myers,92,"['Trevor Barton,Thomas Thornton,Joseph Coleman,Jerry Lopez,David Moore,Jennifer Kaiser,Robert Meyers MD,Travis Estrada']",High
401,Matthew Jones,10,"['Kathleen Jones,James George,Amanda Thompson,Charles Mckinney,Mary Adams,Rachel Powell,Justin Beck,Crystal Lopez']",Medium
402,Shannon Rodriguez,70,"['William Taylor,Chase Hernandez,John Barnes,Evan Bowen,Michael Smith,Lisa Quinn,Theresa Brown']",Low
403,Kim Carr,93,"['Anthony Walker,Amanda Barnett,Manuel Boyd,Jason Sanchez,Steven Peterson']",High
404,Tiffany Anderson,34,"['Henry Banks,Mario Adams,Theresa Smith']",Low
405,James Smith DDS,176,"['Jeremy Hughes,Andrew Garcia,Ronald Rivera,April Cook,Daniel Montoya,Dr. Aaron Waller']",High
406,William Robinson,27,"['Cory Weber,Lauren Peterson']",High
407,Michelle Smith,66,"['Samantha Bowers,Anna Smith,Andrew Freeman,Richard French,Gary Williamson,Jessica Sanford,Michelle Miller,Duane Torres,Glenn James']",Low
408,Jacob Schaefer,36,"['Franklin Weeks,Anna Francis']",High
409,James Romero,43,"['Kelly Gordon,Clinton Gonzalez,Adam Allen,Steven Hughes,Sherry Sanchez']",Low
410,Adrian Phillips,155,"['Robert Green,Christina Garcia,Preston Smith']",Low
411,Chad Garcia,44,"['Robin Santiago,Robin Anderson,Sean Mcgee,David Harrison,Monica Campbell']",Low
412,Bradley Phillips,31,"['Donald Suarez,Denise Cooper,Cynthia Rojas,Christina Johnson,Brittney Oliver']",High
413,Renee Ashley,88,"['James Smith,Heather Bennett,James Booth,Raymond Salas,Jessica Saunders,Veronica Pineda,Linda Robinson,Madeline Brown,Patrick Daugherty']",Low
414,Steven Mills,78,"['Sandy Juarez,Amy Fry,Kim Simon,Edward Orr']",High
415,Kelly Francis,7,"['Anthony Villegas,Justin Conley,Jack Rivas,Mary Stanley,Kyle Fritz Jr.,Shannon Williams,Connie Gonzalez']",Low
416,Robert Hester,153,"['Eric Moore,Tammy Santiago']",Low
417,Shawn Pittman,46,"['Christina Snyder,Nicole Rogers,Douglas Sanchez,April Padilla,Cheryl Cameron,Donald Scott,Angela Wolf,Brandy Johns']",High
418,James Garcia,83,"['Corey Gould,Kevin Blake,Nicole Richard,Connie Gomez']",Medium
419,Erin Elliott MD,89,"['Daniel Lopez,Anthony Green,Deanna Zimmerman,Christian Clayton,Kevin Medina,Stephanie Davis']",Low
420,Caleb Ellison,171,"['Cynthia James,Kelsey Marshall,Christina Ortega']",High
421,Crystal Smith,168,"['Mark Valdez,Shane Perkins,Julie Turner,Jody Alvarez,Melissa Powers,Christine Floyd,Brad Hurst Jr.,Jeffrey Greer,Dana Wright,Christina Jensen']",Low
