,organizer,call_duration_mins,participants,indiv_interaction_mins,interaction,meeting_modes,meeting_types,host_locations,recorded_session
3013,Divya Raj,84,"{'Avinash Prakash,Vaishali Raj,Avinash Raj,Avinash Raj,Surya Prasad,Divya Raj,Divya Prasad,Vaishali Raj,Divya Prakash,Aruna Prasad', 'Divya Raj'}",[11 43 30],High,online,employee_engagement,Romania,no
3014,Aruna Prakash,51,"{'Aruna Prakash', 'Prasanna Prasad,Vaishali Prasad,Harini Raj,Divya Prakash,Vaishali Ravindranath,Divya Raj,Prasanna Raj,Aruna Ravindranath,Surya Raj,Prasanna Prakash'}",[18  8 25],Low,hybrid,employee_engagement,Remote,no
3015,Vaishali Prasad,73,"{'Vaishali Prasad', 'Divya Prasad,Divya Prasad,Avinash Raj,Surya Raj'}",[53  9 11],Medium,hybrid,others,Romania,yes
3016,Surya Raj,141,"{'Harini Ravindranath,Prasanna Ravindranath,Surya Raj,Avinash Raj,Surya Raj,Surya Raj,Harini Ravindranath,Aruna Prasad', 'Surya Raj'}",[53 88  0],Low,in_office,employee_engagement,India,yes
3017,Avinash Raj,90,"{'Avinash Raj', 'Aruna Prasad,Vaishali Prasad,Vaishali Raj,Aruna Ravindranath,Surya Raj,Aruna Prasad,Avinash Prakash,Avinash Prasad'}",[38  7 45],Low,online,project_discussion,Remote,yes
3018,Vaishali Raj,177,"{'Divya Prakash,Prasanna Raj,Surya Ravindranath', 'Vaishali Raj'}",[ 44  13 120],Low,in_office,employee_engagement,India,yes
3019,Divya Prakash,12,"{'Divya Prakash', 'Harini Raj,Vaishali Ravindranath,Prasanna Prakash,Aruna Raj,Aruna Ravindranath,Aruna Prasad,Avinash Prasad,Aruna Prasad,Prasanna Prakash,Divya Ravindranath'}",[4 8 0],High,in_office,others,Romania,yes
3020,Surya Ravindranath,92,"{'Prasanna Prakash,Harini Prakash,Harini Raj,Aruna Raj,Vaishali Ravindranath,Surya Raj', 'Surya Ravindranath'}",[74  7 11],Medium,in_office,project_discussion,France,no
3021,Prasanna Prasad,72,"{'Prasanna Prasad', 'Avinash Ravindranath,Harini Ravindranath'}",[ 3 52 17],High,online,trainings,Romania,yes
3022,Prasanna Ravindranath,42,"{'Prasanna Ravindranath', 'Prasanna Prasad,Prasanna Prakash,Divya Ravindranath,Vaishali Ravindranath,Avinash Prasad,Surya Prakash,Avinash Raj,Surya Ravindranath,Divya Prasad'}",[ 4 20 18],Low,in_office,employee_engagement,Remote,yes
3023,Surya Prakash,169,"{'Avinash Raj,Divya Prakash,Aruna Prasad,Prasanna Prasad,Surya Prasad,Divya Raj,Prasanna Prakash,Harini Prasad,Surya Prasad,Divya Raj', 'Surya Prakash'}",[33 39 97],Medium,online,others,Remote,yes
3024,Surya Ravindranath,161,"{'Surya Prakash,Vaishali Prakash,Divya Prakash,Divya Prakash,Harini Ravindranath,Divya Ravindranath', 'Surya Ravindranath'}",[ 6 95 60],Medium,hybrid,others,France,yes
3025,Vaishali Ravindranath,58,"{'Vaishali Raj,Divya Prakash,Surya Ravindranath,Aruna Ravindranath,Surya Ravindranath,Harini Raj,Surya Prasad', 'Vaishali Ravindranath'}",[50  3  5],Low,hybrid,project_discussion,India,no
3026,Aruna Prakash,127,"{'Aruna Prakash', 'Divya Prakash,Prasanna Prakash,Prasanna Prasad,Harini Ravindranath,Aruna Prasad,Harini Prakash'}",[26 52 49],High,hybrid,trainings,France,yes
3027,Vaishali Prakash,114,"{'Vaishali Prakash', 'Divya Ravindranath,Harini Prasad,Harini Ravindranath'}",[53 61  0],Low,online,trainings,India,yes
3028,Surya Ravindranath,67,"{'Aruna Prasad,Vaishali Prakash,Vaishali Prakash,Avinash Raj,Prasanna Prakash,Divya Prakash,Avinash Prasad,Surya Prakash', 'Surya Ravindranath'}",[28 14 25],Medium,online,trainings,Romania,no
3029,Surya Prakash,51,"{'Avinash Prakash,Surya Raj', 'Surya Prakash'}",[48  0  3],Low,in_office,others,Romania,no
3030,Harini Prakash,34,"{'Harini Ravindranath,Prasanna Prasad,Divya Prakash,Avinash Raj,Vaishali Ravindranath,Vaishali Prasad,Avinash Raj,Prasanna Ravindranath,Aruna Prakash,Avinash Raj', 'Harini Prakash'}",[ 6 23  5],Low,hybrid,trainings,France,yes
3031,Surya Ravindranath,161,"{'Surya Ravindranath', 'Harini Prakash,Surya Ravindranath'}",[  4  43 114],Low,hybrid,project_discussion,Remote,no
3032,Vaishali Raj,15,"{'Aruna Prakash,Surya Prasad,Prasanna Prasad,Avinash Prasad,Aruna Prakash,Divya Prakash,Surya Raj,Surya Prakash,Avinash Prasad,Surya Ravindranath', 'Vaishali Raj'}",[8 1 6],Medium,hybrid,trainings,Romania,no
3033,Surya Ravindranath,145,"{'Surya Prasad,Prasanna Ravindranath,Surya Prasad,Surya Prakash,Prasanna Ravindranath,Aruna Prasad,Aruna Raj', 'Surya Ravindranath'}",[75 63  7],Low,online,trainings,Remote,yes
3034,Avinash Ravindranath,64,"{'Surya Ravindranath,Prasanna Prakash,Avinash Prakash,Harini Ravindranath,Aruna Prakash,Surya Ravindranath,Prasanna Prasad', 'Avinash Ravindranath'}",[ 6  5 53],Low,in_office,trainings,Remote,no
3035,Divya Raj,173,"{'Harini Raj,Surya Prakash,Harini Prakash,Avinash Ravindranath,Vaishali Ravindranath,Prasanna Prakash,Avinash Ravindranath', 'Divya Raj'}",[ 58   6 109],Low,in_office,project_discussion,Remote,no
3036,Surya Ravindranath,67,"{'Vaishali Ravindranath,Avinash Prasad,Prasanna Raj,Vaishali Ravindranath,Surya Prakash,Divya Raj,Harini Raj,Avinash Prakash', 'Surya Ravindranath'}",[12 35 20],High,online,trainings,India,yes
3037,Prasanna Prasad,41,"{'Prasanna Prasad', 'Vaishali Prakash,Avinash Raj,Avinash Prasad,Vaishali Prakash,Vaishali Prakash,Harini Ravindranath'}",[ 3 15 23],Medium,hybrid,employee_engagement,Romania,yes
3038,Prasanna Prasad,69,"{'Prasanna Prasad', 'Harini Ravindranath,Aruna Raj,Aruna Prasad,Aruna Prakash,Harini Prasad,Divya Prasad,Aruna Prasad,Surya Prakash,Divya Prasad'}",[ 2 53 14],Low,hybrid,project_discussion,Romania,no
3039,Divya Prakash,54,"{'Vaishali Raj,Prasanna Prakash,Harini Prakash,Aruna Ravindranath,Divya Prasad,Avinash Prasad,Vaishali Ravindranath,Avinash Ravindranath,Aruna Raj,Aruna Ravindranath', 'Divya Prakash'}",[ 3  6 45],Low,in_office,employee_engagement,India,yes
3040,Vaishali Ravindranath,50,"{'Prasanna Prakash,Surya Prasad,Harini Ravindranath,Avinash Raj,Vaishali Raj,Harini Raj,Avinash Prasad,Avinash Raj,Divya Prakash,Avinash Prakash', 'Vaishali Ravindranath'}",[32 12  6],Medium,hybrid,project_discussion,Remote,no
3041,Surya Raj,128,"{'Surya Prasad,Prasanna Prasad,Aruna Prakash,Avinash Prakash,Aruna Prasad', 'Surya Raj'}",[53 55 20],Medium,online,employee_engagement,India,no
3042,Harini Raj,56,"{'Harini Raj', 'Avinash Prasad,Harini Raj,Divya Raj,Surya Prasad,Harini Ravindranath,Harini Raj,Surya Raj,Surya Prasad'}",[22 29  5],Low,hybrid,employee_engagement,France,no
3043,Prasanna Prakash,96,"{'Vaishali Ravindranath,Harini Prakash,Divya Prakash,Harini Prasad,Harini Raj', 'Prasanna Prakash'}",[32 37 27],Medium,hybrid,others,India,no
3044,Prasanna Ravindranath,101,"{'Avinash Raj,Harini Prasad,Vaishali Prakash', 'Prasanna Ravindranath'}",[34 17 50],Low,hybrid,trainings,Remote,no
3045,Harini Prasad,42,"{'Surya Prasad,Vaishali Prakash,Divya Raj,Aruna Prakash,Aruna Prakash,Harini Prakash,Vaishali Prasad,Avinash Prasad,Harini Prakash', 'Harini Prasad'}",[20 20  2],Low,in_office,others,Remote,yes
3046,Harini Prasad,35,"{'Prasanna Prasad,Prasanna Raj', 'Harini Prasad'}",[16  3 16],Low,online,others,India,yes
3047,Surya Prasad,78,"{'Avinash Prasad,Surya Ravindranath,Aruna Raj,Harini Raj', 'Surya Prasad'}",[10 58 10],Medium,hybrid,others,France,no
3048,Harini Prasad,115,"{'Avinash Raj,Prasanna Prasad,Harini Raj', 'Harini Prasad'}",[95 16  4],Medium,online,project_discussion,Romania,yes
3049,Aruna Raj,156,"{'Aruna Raj', 'Aruna Raj,Harini Ravindranath,Divya Prakash,Prasanna Ravindranath,Vaishali Prasad'}",[60 57 39],Low,in_office,others,Remote,yes
3050,Avinash Prakash,50,"{'Vaishali Prakash,Avinash Ravindranath,Prasanna Raj,Prasanna Raj,Prasanna Ravindranath', 'Avinash Prakash'}",[19 10 21],Low,online,trainings,France,no
3051,Harini Prakash,144,"{'Harini Prasad,Divya Prasad,Aruna Ravindranath,Harini Raj,Aruna Prakash,Avinash Prasad,Harini Raj,Harini Prasad,Harini Ravindranath,Harini Ravindranath', 'Harini Prakash'}",[107  16  21],Medium,online,employee_engagement,India,no
3052,Aruna Ravindranath,93,"{'Avinash Prakash,Avinash Raj,Avinash Prasad,Divya Prakash,Divya Ravindranath', 'Aruna Ravindranath'}",[10 81  2],Medium,online,trainings,Remote,no
3053,Harini Raj,51,"{'Divya Raj,Aruna Prasad,Surya Raj,Aruna Raj', 'Harini Raj'}",[ 5 10 36],High,in_office,employee_engagement,France,no
3054,Aruna Raj,101,"{'Aruna Raj', 'Vaishali Raj,Prasanna Ravindranath'}",[21  8 72],Medium,online,trainings,France,no
3055,Surya Raj,143,"{'Prasanna Ravindranath,Harini Ravindranath,Divya Ravindranath,Vaishali Ravindranath,Harini Prasad,Vaishali Raj,Harini Prakash,Surya Prakash,Harini Ravindranath,Divya Prakash', 'Surya Raj'}",[40 59 44],Medium,hybrid,employee_engagement,Romania,no
3056,Avinash Prasad,134,"{'Avinash Prasad,Aruna Ravindranath,Surya Prasad,Divya Prasad,Harini Ravindranath,Prasanna Prakash,Divya Prasad,Prasanna Ravindranath,Surya Prasad', 'Avinash Prasad'}",[20 32 82],Medium,online,project_discussion,Remote,no
3057,Surya Prasad,137,"{'Surya Prasad', 'Surya Prasad,Vaishali Ravindranath,Aruna Raj,Avinash Raj,Aruna Raj,Avinash Ravindranath,Surya Ravindranath,Aruna Prakash'}",[93 39  5],Low,hybrid,employee_engagement,France,yes
3058,Vaishali Ravindranath,44,"{'Vaishali Ravindranath', 'Divya Prasad,Avinash Ravindranath'}",[20 22  2],Medium,hybrid,project_discussion,France,no
3059,Vaishali Prasad,162,"{'Vaishali Prasad', 'Harini Ravindranath,Avinash Raj,Aruna Prasad,Aruna Raj'}",[66 66 30],Medium,in_office,employee_engagement,India,yes
3060,Harini Raj,180,"{'Harini Raj', 'Prasanna Ravindranath,Avinash Prasad,Surya Ravindranath,Vaishali Raj'}",[ 21 131  28],High,online,employee_engagement,Romania,no
3061,Harini Prakash,123,"{'Harini Prakash', 'Avinash Raj,Surya Raj,Vaishali Raj,Vaishali Raj'}",[16 28 79],High,in_office,others,Remote,no
3062,Aruna Prakash,54,"{'Aruna Prakash', 'Vaishali Prasad,Divya Prakash,Surya Prakash,Surya Raj,Surya Prakash,Prasanna Prakash'}",[11 23 20],High,in_office,trainings,India,no
3063,Divya Prasad,121,"{'Aruna Prakash,Divya Ravindranath,Prasanna Prasad,Prasanna Raj,Prasanna Prakash,Avinash Prakash,Divya Prasad,Aruna Raj,Vaishali Prakash', 'Divya Prasad'}",[47 52 22],High,hybrid,project_discussion,France,yes
3064,Harini Prasad,81,"{'Divya Prakash,Vaishali Ravindranath,Surya Prakash,Prasanna Raj,Aruna Raj,Surya Prakash,Vaishali Prasad', 'Harini Prasad'}",[57 17  7],Low,in_office,employee_engagement,India,yes
3065,Aruna Ravindranath,71,"{'Aruna Raj,Vaishali Prakash,Surya Prasad,Harini Prasad,Aruna Prakash,Harini Raj,Avinash Ravindranath', 'Aruna Ravindranath'}",[ 5 41 25],High,in_office,employee_engagement,India,yes
3066,Vaishali Raj,31,"{'Vaishali Raj', 'Avinash Raj,Aruna Prakash,Surya Ravindranath'}",[23  6  2],Low,hybrid,others,Romania,no
3067,Aruna Prakash,77,"{'Prasanna Ravindranath,Vaishali Prakash,Surya Prakash', 'Aruna Prakash'}",[47 22  8],High,hybrid,project_discussion,India,no
3068,Prasanna Prasad,175,"{'Prasanna Prasad', 'Surya Prakash,Avinash Ravindranath,Prasanna Prakash'}",[19 75 81],Low,in_office,others,Romania,no
3069,Divya Raj,21,"{'Prasanna Raj,Vaishali Ravindranath,Avinash Prasad,Harini Ravindranath,Aruna Prakash,Avinash Raj,Surya Ravindranath,Surya Raj,Aruna Raj,Harini Prakash', 'Divya Raj'}",[ 0 11 10],Medium,hybrid,others,Romania,yes
3070,Avinash Raj,34,"{'Avinash Raj', 'Divya Ravindranath,Divya Prakash,Vaishali Prakash,Surya Prakash,Aruna Prakash,Vaishali Raj,Harini Prakash,Avinash Prasad,Avinash Prasad'}",[14 12  8],Medium,in_office,others,France,no
3071,Vaishali Prasad,78,"{'Vaishali Prasad', 'Prasanna Raj,Divya Raj,Vaishali Prasad,Surya Ravindranath,Avinash Ravindranath,Aruna Raj,Harini Ravindranath'}",[ 9  5 64],Low,in_office,project_discussion,India,no
3072,Divya Raj,39,"{'Harini Raj,Avinash Prasad,Harini Ravindranath,Vaishali Prakash,Harini Prasad,Avinash Raj,Vaishali Prasad,Prasanna Prakash,Prasanna Raj', 'Divya Raj'}",[ 0 12 27],Low,in_office,others,Romania,no
3073,Harini Ravindranath,159,"{'Harini Ravindranath', 'Avinash Prakash,Harini Raj,Avinash Ravindranath,Avinash Prasad'}",[28 88 43],Medium,in_office,project_discussion,India,no
3074,Vaishali Raj,24,"{'Prasanna Ravindranath,Surya Prakash,Vaishali Ravindranath,Aruna Prasad,Divya Prasad,Aruna Ravindranath', 'Vaishali Raj'}",[12  5  7],High,in_office,trainings,Romania,yes
3075,Surya Raj,18,"{'Divya Prasad,Aruna Raj,Avinash Ravindranath,Divya Raj,Surya Prasad,Aruna Prakash,Divya Ravindranath,Vaishali Prakash', 'Surya Raj'}",[8 9 1],High,hybrid,others,Romania,no
3076,Aruna Prasad,25,"{'Divya Ravindranath,Vaishali Raj,Avinash Ravindranath,Prasanna Prasad,Divya Prakash,Prasanna Raj,Vaishali Ravindranath,Vaishali Prakash,Divya Raj,Harini Raj', 'Aruna Prasad'}",[ 8 15  2],Low,hybrid,employee_engagement,Romania,yes
3077,Avinash Raj,113,"{'Divya Raj,Prasanna Ravindranath,Aruna Raj,Harini Prasad,Harini Ravindranath,Aruna Prakash,Surya Ravindranath,Surya Raj,Divya Ravindranath', 'Avinash Raj'}",[28 40 45],High,online,project_discussion,Romania,no
3078,Harini Raj,138,"{'Prasanna Prasad,Surya Prasad,Surya Ravindranath,Harini Prakash,Aruna Raj,Avinash Prakash,Harini Prakash,Vaishali Prasad', 'Harini Raj'}",[36 79 23],High,online,employee_engagement,Remote,no
3079,Aruna Prasad,158,"{'Aruna Prasad', 'Prasanna Ravindranath,Prasanna Ravindranath,Prasanna Raj,Avinash Prasad,Divya Prasad'}",[63  8 87],Low,hybrid,employee_engagement,India,no
3080,Prasanna Prakash,68,"{'Prasanna Prakash', 'Harini Prasad,Surya Ravindranath,Prasanna Prasad,Surya Prakash,Aruna Prakash,Prasanna Raj,Harini Raj,Aruna Ravindranath,Avinash Ravindranath,Vaishali Prasad'}",[34 31  3],Low,in_office,project_discussion,France,yes
3081,Avinash Prakash,59,"{'Surya Prakash,Surya Ravindranath,Surya Prasad,Harini Raj,Harini Prakash,Prasanna Prasad,Surya Prakash,Divya Prasad', 'Avinash Prakash'}",[ 8 12 39],High,online,project_discussion,Remote,no
3082,Vaishali Raj,49,"{'Avinash Ravindranath,Aruna Prasad,Divya Prakash', 'Vaishali Raj'}",[19 30  0],Low,online,trainings,Romania,no
3083,Prasanna Prasad,93,"{'Prasanna Prasad', 'Prasanna Raj,Divya Raj,Vaishali Prakash,Vaishali Prasad,Vaishali Ravindranath,Prasanna Raj'}",[41  5 47],Medium,in_office,employee_engagement,Remote,no
3084,Vaishali Raj,45,"{'Aruna Raj,Aruna Raj,Harini Prasad,Prasanna Prasad,Vaishali Raj,Prasanna Prakash,Vaishali Ravindranath,Surya Raj', 'Vaishali Raj'}",[ 2 35  8],Medium,in_office,trainings,Romania,yes
3085,Avinash Prasad,127,"{'Prasanna Ravindranath,Aruna Prasad,Vaishali Raj,Divya Ravindranath,Prasanna Prasad', 'Avinash Prasad'}",[62 40 25],Medium,in_office,others,Romania,yes
3086,Surya Prakash,6,"{'Prasanna Ravindranath,Prasanna Prasad,Aruna Ravindranath,Vaishali Prakash,Prasanna Prasad', 'Surya Prakash'}",[1 4 1],Low,online,employee_engagement,France,yes
3087,Divya Raj,73,"{'Divya Raj', 'Avinash Prakash,Vaishali Prasad'}",[18 17 38],Medium,online,trainings,Remote,no
3088,Prasanna Ravindranath,133,"{'Prasanna Ravindranath', 'Harini Prasad,Divya Ravindranath,Harini Prakash,Avinash Prasad'}",[74 35 24],Low,hybrid,project_discussion,Remote,yes
3089,Aruna Raj,140,"{'Aruna Raj', 'Aruna Raj,Divya Raj,Avinash Raj,Surya Prasad,Avinash Raj,Harini Prasad,Surya Prakash'}",[ 8 38 94],High,in_office,trainings,India,yes
3090,Aruna Prakash,14,"{'Aruna Prakash', 'Divya Ravindranath,Harini Ravindranath,Vaishali Raj,Divya Raj,Vaishali Prakash,Prasanna Raj,Avinash Prakash,Avinash Raj'}",[ 3 10  1],High,hybrid,trainings,India,no
3091,Vaishali Ravindranath,136,"{'Vaishali Ravindranath', 'Aruna Raj,Vaishali Raj,Harini Prasad,Prasanna Prakash,Harini Raj,Harini Ravindranath'}",[53 51 32],Low,in_office,others,Remote,yes
3092,Aruna Prasad,37,"{'Vaishali Ravindranath,Prasanna Prasad,Surya Raj,Avinash Prasad', 'Aruna Prasad'}",[16  1 20],High,online,others,France,no
3093,Divya Ravindranath,74,"{'Surya Raj,Aruna Raj,Prasanna Raj', 'Divya Ravindranath'}",[65  9  0],High,online,employee_engagement,France,yes
3094,Surya Ravindranath,123,"{'Avinash Prasad,Harini Prasad,Divya Prakash,Prasanna Prakash', 'Surya Ravindranath'}",[82 28 13],Medium,in_office,project_discussion,France,yes
3095,Aruna Prakash,113,"{'Aruna Prakash', 'Vaishali Prakash,Harini Raj,Vaishali Prasad,Prasanna Raj,Vaishali Prakash,Aruna Prasad'}",[42 65  6],Low,online,trainings,India,no
3096,Vaishali Prakash,34,"{'Vaishali Prakash', 'Prasanna Raj,Divya Ravindranath,Harini Prasad,Aruna Ravindranath,Aruna Prasad,Surya Raj,Vaishali Raj,Avinash Ravindranath'}",[31  3  0],High,hybrid,others,Remote,no
3097,Prasanna Raj,121,"{'Prasanna Raj', 'Vaishali Ravindranath,Avinash Ravindranath,Divya Ravindranath,Surya Prasad,Prasanna Prasad'}",[ 7 30 84],Medium,in_office,employee_engagement,France,no
3098,Vaishali Ravindranath,94,"{'Vaishali Ravindranath', 'Vaishali Prakash,Surya Raj,Vaishali Prasad,Harini Ravindranath,Surya Prasad,Prasanna Prakash,Avinash Raj,Aruna Raj'}",[ 6 83  5],High,hybrid,others,India,yes
3099,Surya Prasad,144,"{'Avinash Prakash,Aruna Raj,Divya Prasad,Avinash Prasad,Divya Prakash,Surya Ravindranath,Divya Prakash,Vaishali Ravindranath,Aruna Ravindranath', 'Surya Prasad'}",[ 23 118   3],High,hybrid,project_discussion,Romania,yes
3100,Aruna Ravindranath,107,"{'Vaishali Ravindranath,Aruna Raj,Avinash Ravindranath,Harini Raj', 'Aruna Ravindranath'}",[63  2 42],Medium,online,project_discussion,India,no
3101,Aruna Prakash,113,"{'Aruna Prakash', 'Prasanna Ravindranath,Surya Raj,Harini Raj,Divya Raj,Vaishali Prasad,Vaishali Prasad,Vaishali Ravindranath,Surya Prasad'}",[20 71 22],Medium,hybrid,trainings,Romania,yes
3102,Avinash Prasad,150,"{'Avinash Ravindranath,Aruna Ravindranath,Avinash Prakash,Surya Raj,Harini Raj,Aruna Prasad,Harini Prakash,Avinash Ravindranath,Harini Ravindranath,Aruna Prakash', 'Avinash Prasad'}",[41 67 42],Low,hybrid,project_discussion,Remote,no
3103,Avinash Raj,138,"{'Avinash Raj', 'Prasanna Prakash,Divya Ravindranath,Vaishali Prasad,Divya Ravindranath,Avinash Ravindranath,Aruna Raj,Harini Ravindranath,Harini Ravindranath,Avinash Prasad'}",[64 14 60],Low,online,others,India,yes
3104,Divya Raj,21,"{'Divya Ravindranath,Divya Raj,Divya Prasad,Avinash Raj,Aruna Prakash,Avinash Prasad,Vaishali Raj,Vaishali Prasad', 'Divya Raj'}",[12  2  7],Low,online,employee_engagement,India,no
3105,Avinash Raj,85,"{'Avinash Raj', 'Surya Prasad,Harini Prakash,Aruna Ravindranath,Avinash Prasad,Aruna Raj,Aruna Raj,Prasanna Prakash,Vaishali Raj'}",[22 38 25],Low,in_office,project_discussion,Romania,yes
3106,Avinash Prakash,159,"{'Vaishali Raj,Divya Prakash,Harini Ravindranath,Vaishali Raj', 'Avinash Prakash'}",[  3  40 116],High,online,others,Romania,no
3107,Avinash Prasad,36,"{'Vaishali Prakash,Avinash Ravindranath,Aruna Ravindranath,Avinash Prasad,Surya Prasad,Aruna Raj,Vaishali Prakash,Harini Raj', 'Avinash Prasad'}",[22  6  8],Low,in_office,others,Romania,no
3108,Harini Prakash,31,"{'Surya Ravindranath,Aruna Ravindranath', 'Harini Prakash'}",[ 1 26  4],Medium,online,employee_engagement,Remote,yes
3109,Vaishali Raj,93,"{'Vaishali Ravindranath,Avinash Prakash', 'Vaishali Raj'}",[ 2 88  3],High,online,project_discussion,France,no
3110,Vaishali Raj,89,"{'Prasanna Raj,Divya Prakash,Prasanna Prasad,Surya Ravindranath', 'Vaishali Raj'}",[51 29  9],Low,in_office,employee_engagement,Romania,yes
3111,Avinash Prakash,17,"{'Avinash Prakash', 'Prasanna Prasad,Divya Prakash,Prasanna Ravindranath'}",[ 7 10  0],Low,online,others,France,no
3112,Harini Prakash,83,"{'Prasanna Ravindranath,Avinash Ravindranath,Surya Raj,Surya Prasad,Harini Prakash,Aruna Prakash,Divya Prasad', 'Harini Prakash'}",[ 1 74  8],Low,hybrid,employee_engagement,Remote,no
3113,Harini Ravindranath,117,"{'Harini Ravindranath', 'Surya Raj,Surya Prasad,Aruna Prasad,Aruna Prasad'}",[41 50 26],Low,hybrid,others,Remote,no
3114,Divya Prakash,14,"{'Divya Prakash', 'Aruna Ravindranath,Surya Prakash,Harini Ravindranath,Harini Prasad'}",[4 2 8],Medium,online,others,Remote,no
3115,Aruna Prasad,90,"{'Aruna Ravindranath,Aruna Ravindranath,Divya Raj,Vaishali Raj', 'Aruna Prasad'}",[21 54 15],Medium,hybrid,project_discussion,Romania,no
3116,Aruna Prakash,34,"{'Aruna Prakash', 'Harini Prakash,Aruna Ravindranath,Harini Prakash,Harini Prakash,Divya Ravindranath'}",[ 8 22  4],High,hybrid,trainings,India,yes
3117,Divya Raj,105,"{'Divya Raj', 'Prasanna Raj,Harini Prasad,Surya Raj,Aruna Prasad,Harini Ravindranath'}",[21 46 38],Low,in_office,trainings,India,yes
3118,Harini Prakash,6,"{'Surya Ravindranath,Aruna Ravindranath,Vaishali Raj,Vaishali Prasad,Surya Prasad,Avinash Ravindranath,Avinash Prakash', 'Harini Prakash'}",[4 1 1],High,in_office,others,Romania,no
3119,Harini Raj,36,"{'Vaishali Prasad,Avinash Prakash,Harini Raj,Aruna Prasad,Divya Prakash,Avinash Ravindranath,Divya Prasad,Aruna Prakash,Divya Ravindranath', 'Harini Raj'}",[17 14  5],High,in_office,trainings,Remote,no
3120,Harini Ravindranath,80,"{'Harini Ravindranath', 'Surya Ravindranath,Prasanna Raj,Avinash Prakash,Surya Prasad'}",[30 15 35],Medium,hybrid,project_discussion,Remote,yes
3121,Vaishali Prasad,84,"{'Avinash Ravindranath,Vaishali Ravindranath,Avinash Prakash,Prasanna Prakash,Surya Prakash,Aruna Prasad,Divya Ravindranath,Divya Raj,Aruna Prakash', 'Vaishali Prasad'}",[64  5 15],Low,hybrid,project_discussion,France,no
3122,Aruna Ravindranath,97,"{'Divya Prasad,Harini Ravindranath,Aruna Ravindranath,Vaishali Ravindranath,Vaishali Prasad,Surya Raj,Vaishali Raj', 'Aruna Ravindranath'}",[65 28  4],Low,online,others,France,no
3123,Aruna Raj,48,"{'Aruna Raj', 'Vaishali Prakash,Harini Ravindranath,Vaishali Prasad,Vaishali Raj,Aruna Prakash'}",[21  8 19],Low,online,others,India,no
3124,Aruna Ravindranath,134,"{'Aruna Ravindranath', 'Aruna Raj,Avinash Prakash,Vaishali Prasad,Avinash Prasad,Prasanna Ravindranath,Avinash Prakash,Avinash Prakash'}",[103  12  19],Medium,hybrid,others,Romania,yes
3125,Divya Ravindranath,147,"{'Prasanna Raj,Prasanna Ravindranath,Vaishali Raj,Vaishali Prakash,Prasanna Raj,Vaishali Prakash,Surya Prasad,Harini Prakash,Prasanna Ravindranath', 'Divya Ravindranath'}",[ 4 60 83],Medium,hybrid,project_discussion,India,no
3126,Harini Prasad,20,"{'Aruna Prasad,Divya Prasad,Harini Prasad,Prasanna Raj,Aruna Prakash,Vaishali Raj,Vaishali Prakash,Surya Prasad,Prasanna Prasad', 'Harini Prasad'}",[ 8  0 12],Medium,online,project_discussion,Remote,yes
3127,Prasanna Prasad,45,"{'Prasanna Prasad', 'Surya Prakash,Surya Prasad,Aruna Raj,Vaishali Prakash,Surya Ravindranath,Harini Raj,Prasanna Prakash,Vaishali Prasad,Surya Ravindranath'}",[14  2 29],Medium,hybrid,employee_engagement,Romania,yes
3128,Harini Prakash,55,"{'Vaishali Prasad,Aruna Ravindranath,Aruna Raj,Harini Raj,Avinash Raj', 'Harini Prakash'}",[13  7 35],Medium,hybrid,project_discussion,Remote,no
3129,Aruna Prasad,5,"{'Harini Raj,Vaishali Ravindranath,Avinash Ravindranath,Vaishali Ravindranath,Prasanna Ravindranath', 'Aruna Prasad'}",[2 0 3],High,hybrid,project_discussion,Remote,yes
3130,Avinash Prasad,136,"{'Avinash Prasad', 'Divya Prasad,Harini Prasad,Surya Ravindranath,Divya Raj,Divya Raj,Divya Raj'}",[  8 128   0],High,hybrid,others,Romania,no
3131,Surya Prasad,75,"{'Vaishali Prasad,Harini Raj,Surya Prakash,Aruna Prasad', 'Surya Prasad'}",[11 42 22],Low,hybrid,trainings,Remote,no
3132,Prasanna Prasad,126,"{'Divya Prakash,Prasanna Raj,Aruna Prasad,Surya Raj,Surya Ravindranath,Avinash Prakash,Avinash Raj,Avinash Prakash,Aruna Raj,Surya Prasad', 'Prasanna Prasad'}",[ 4 56 66],Medium,hybrid,project_discussion,Romania,yes
3133,Aruna Raj,136,"{'Aruna Raj', 'Prasanna Ravindranath,Divya Prasad,Prasanna Ravindranath'}",[  2  25 109],Medium,in_office,employee_engagement,India,yes
3134,Harini Prakash,31,"{'Divya Prakash,Divya Ravindranath,Surya Raj', 'Harini Prakash'}",[ 4 16 11],Low,in_office,trainings,Romania,yes
3135,Divya Prakash,163,"{'Divya Prakash', 'Prasanna Raj,Divya Prasad,Harini Prakash,Divya Ravindranath'}",[ 26 100  37],High,in_office,others,France,no
3136,Aruna Raj,124,"{'Aruna Raj', 'Prasanna Prakash,Surya Raj,Surya Raj,Divya Prasad,Prasanna Raj'}",[15 17 92],Medium,online,others,India,yes
3137,Vaishali Prasad,158,"{'Vaishali Prasad', 'Harini Prasad,Divya Prakash,Surya Prakash,Surya Prakash,Prasanna Ravindranath'}",[  5 148   5],Low,in_office,trainings,France,yes
